"","X","영화명","개봉일","매출액","관객수","스크린수","대표국적","배급사","영화명_공백X","영화코드","장르","main_genre"
"282",282,"러브픽션",20120229,13200412500,1726202,617,"한국","(주)넥스트엔터테인먼트월드(NEW)","러브픽션",20113916,"멜로/로맨스 코미디","멜로/로맨스"
"283",283,"평양성",20110127,12684530500,1717566,451,"한국","롯데쇼핑㈜롯데엔터테인먼트","평양성",20102415,"전쟁 코미디 드라마","전쟁"
"284",284,"파파로티",20130314,11825934000,1716429,552,"한국","(주)쇼박스","파파로티",20129368,"드라마","드라마"
"285",285,"쎄시봉",20150205,13570381911,1714803,829,"한국","씨제이이앤엠(주)","쎄시봉",20148188,"멜로/로맨스 코미디 드라마","멜로/로맨스"
"286",286,"님은 먼 곳에",20080724,11211235000,1706576,499,"한국","(주)쇼박스","님은먼곳에",20080764,"드라마 전쟁","드라마"
"287",287,"품행제로",20021226,36055232145,1694637,29,"한국","영화사청어람(주)","품행제로",20020239,"코미디","코미디"
"288",288,"조폭마누라3",20061228,35639753472,1690465,71,"한국","(주)쇼박스","조폭마누라3",20060357,"액션 코미디","액션"
"289",289,"불꽃처럼 나비처럼",20090924,12447633504,1690294,437,"한국","(주)쇼박스","불꽃처럼나비처럼",20090308,"멜로/로맨스 사극","멜로/로맨스"
"290",290,"알포인트",20040820,35357497092,1689000,42,"한국","(주)시네마서비스","알포인트",20040613,"전쟁","전쟁"
"291",291,"피끓는 청춘",20140122,11688382888,1676040,679,"한국","롯데쇼핑㈜롯데엔터테인먼트","피끓는청춘",20139881,"코미디 멜로/로맨스 드라마","코미디"
"292",292,"PMC: 더 벙커",20181226,14024838424,1671548,1081,"한국","씨제이이앤엠(주)","PMC:더벙커",20170658,"액션","액션"
"293",293,"공모자들",20120829,12240964500,1646142,496,"한국","씨너스엔터테인먼트(주),타임스토리그룹(주)","공모자들",20124063,"범죄 스릴러","범죄"
"294",294,"임금님의 사건수첩",20170426,12648793723,1634403,1054,"한국","씨제이이앤엠(주)","임금님의사건수첩",20161726,"코미디 어드벤처 액션","코미디"
"295",295,"고死 : 피의 중간고사",20080807,10299976000,1634051,270,"한국","에스케이텔레콤(주)","고死:피의중간고사",20081058,"공포(호러) 스릴러","공포(호러)"
"296",296,"걸캅스",20190509,13807476134,1628963,973,"한국","씨제이이앤엠(주)","걸캅스",20184082,"코미디 액션","코미디"
"297",297,"두근두근 내 인생",20140903,12291081634,1624601,629,"한국","씨제이이앤엠(주)","두근두근내인생",20134594,"드라마","드라마"
"298",298,"권순분여사 납치사건",20070912,35208968922,1619190,86,"한국","(주)시네마서비스","권순분여사납치사건",20070421,"코미디","코미디"
"299",299,"우아한 거짓말",20140313,11727360300,1618988,555,"한국","CGV아트하우스","우아한거짓말",20138226,"드라마","드라마"
"300",300,"무방비도시",20080110,10591349944,1613728,336,"한국","씨제이엔터테인먼트","무방비도시",20071064,"범죄 액션","범죄"
"301",301,"하울링",20120216,11765293500,1612554,550,"한국","씨제이이앤엠(주)","하울링",20110249,"범죄 드라마","범죄"
"302",302,"복면달호",20070214,34723900233,1611192,64,"한국","㈜스튜디오이쩜영","복면달호",20070020,"코미디 드라마","코미디"
"303",303,"사자",20190731,12917306145,1609737,1405,"한국","롯데컬처웍스(주)롯데엔터테인먼트","사자",20180442,"미스터리 액션 판타지 공포(호러)","미스터리"
"304",304,"신라의 달밤",20010623,34611103395,1608211,NA,"한국","(주)시네마서비스","신라의달밤",20010027,"코미디","코미디"
"305",305,"가문의 영광",20020912,34537534002,1605775,45,"한국","(주)시네마서비스","가문의영광",20020245,"코미디","코미디"
"306",306,"창궐",20181025,13275772490,1599290,1351,"한국","(주)넥스트엔터테인먼트월드(NEW)","창궐",20174981,"사극 액션","사극"
"307",307,"더 폰",20151022,12309164568,1593694,794,"한국","(주)넥스트엔터테인먼트월드(NEW)","더폰",20157464,"스릴러 액션","스릴러"
"308",308,"성난황소",20181122,13236490737,1593386,1010,"한국","(주)쇼박스","성난황소",20184481,"범죄 액션","범죄"
"309",309,"간 큰 가족",20050609,34099054983,1593038,75,"한국","(주)쇼박스","간큰가족",20050064,"코미디","코미디"
"310",310,"집으로...",20020404,33622639740,1576943,32,"한국","(주)팝엔터테인먼트,씨제이엔터테인먼트","집으로...",20020061,"드라마","드라마"
"311",311,"와일드 카드",20030516,32474359170,1571931,47,"한국","(주)시네마서비스","와일드카드",20030061,"범죄","범죄"
"312",312,"무적자",20100916,11816488677,1571432,416,"한국","씨제이엔터테인먼트","무적자",20100833,"드라마 액션","드라마"
"313",313,"원스어폰어타임",20080131,10180143111,1562486,315,"한국","(유)씨에이치엔터테인먼트","원스어폰어타임",20080011,"액션 코미디","액션"
"314",314,"야수와 미녀",20051027,32377472289,1561282,54,"한국","(주)쇼박스","야수와미녀",20050261,"코미디","코미디"
"315",315,"도어락",20181205,12803157486,1561258,954,"한국","메가박스중앙(주)플러스엠","도어락",20190145,"드라마","드라마"
"316",316,"마파도2",20070118,31195053648,1560297,66,"한국","씨제이엔터테인먼트","마파도2",20060407,"코미디","코미디"
"317",317,"용의자X",20121018,11241013000,1552055,553,"한국","씨제이이앤엠(주)","용의자X",20124057,"미스터리","미스터리"
"318",318,"클래식",20030130,31039480395,1545107,49,"한국","(주)시네마서비스","클래식",20030003,"드라마","드라마"
"319",319,"해바라기",20061123,30916776645,1543429,64,"한국","(주)쇼박스","해바라기",20131634,"기타","기타"
"320",320,"유감스러운 도시",20090122,10300187478,1534911,375,"한국","씨제이엔터테인먼트","유감스러운도시",20090014,"코미디 액션 범죄","코미디"
"321",321,"작전",20090212,10198304795,1534407,393,"한국","(주)쇼박스","작전",20090023,"범죄 드라마 스릴러","범죄"
"322",322,"S 다이어리",20041022,30874521249,1531840,58,"한국","씨제이엔터테인먼트,아이러브시네마","S다이어리",20040641,"코미디","코미디"
"323",323,"중천",20061221,30829200147,1531220,87,"한국","씨제이엔터테인먼트","중천",20060370,"액션 드라마 판타지","액션"
"324",324,"내사랑 싸가지",20040116,30638529846,1513000,33,"한국","(주)시네마서비스","내사랑싸가지",20030435,"코미디","코미디"
"325",325,"퍼펙트 게임",20111221,11220408500,1507084,413,"한국","롯데쇼핑㈜롯데엔터테인먼트","퍼펙트게임",20113260,"드라마","드라마"
"326",326,"리틀 포레스트",20180228,11924818185,1505560,884,"한국","메가박스중앙(주)플러스엠","리틀포레스트",20170841,"드라마","드라마"
"327",327,"더 게임",20080130,9869346557,1496214,339,"한국",NA,"더게임",20071675,"스릴러","스릴러"
"328",328,"부라더",20171102,11783109998,1492903,889,"한국","메가박스중앙(주)플러스엠","부라더",20172603,"코미디","코미디"
"329",329,"B형 남자친구",20050203,30540638682,1485454,47,"한국","롯데쇼핑㈜롯데엔터테인먼트","B형남자친구",20050008,"코미디","코미디"
"330",330,"나의 특별한 형제",20190501,12081618074,1478156,936,"한국","(주)넥스트엔터테인먼트월드(NEW)","나의특별한형제",20185784,"드라마 코미디","드라마"
"331",331,"해무(海霧)",20140813,11706502519,1475472,584,"한국","(주)넥스트엔터테인먼트월드(NEW)","해무(海霧)",20134082,"드라마","드라마"
"332",332,"차이나타운",20150429,11989400678,1472006,551,"한국","CGV아트하우스","차이나타운",20149266,"범죄 드라마","범죄"
"333",333,"스윙키즈",20181219,12081264892,1471247,984,"한국","(주)넥스트엔터테인먼트월드(NEW)","스윙키즈",20175547,"드라마","드라마"
"334",334,"홀리데이",20060119,30342492891,1458896,42,"한국","롯데쇼핑㈜롯데엔터테인먼트","홀리데이",20050349,"드라마 스릴러 범죄","드라마"
"335",335,"각설탕",20060810,30319990911,1446820,65,"한국","씨제이엔터테인먼트","각설탕",20060214,"드라마","드라마"
"336",336,"인간중독",20140514,11284787400,1441964,682,"한국","(주)넥스트엔터테인먼트월드(NEW)","인간중독",20133322,"멜로/로맨스 드라마","멜로/로맨스"
"337",337,"궁녀",20071018,29534649156,1438531,83,"한국","(주)시네마서비스","궁녀",20070497,"미스터리 스릴러","미스터리"
"338",338,"주홍글씨",20041029,29433563919,1437549,76,"한국","(주)쇼박스","주홍글씨",20040671,"스릴러 멜로/로맨스","스릴러"
"339",339,"탐정 홍길동: 사라진 마을",20160504,11514389845,1430666,764,"한국","씨제이이앤엠(주)","탐정홍길동:사라진마을",20142406,"드라마 액션","드라마"
"340",340,"런닝맨",20130404,10060239500,1422844,567,"한국","이십세기폭스코리아(주)","런닝맨",20177423,"드라마","드라마"
"341",341,"조폭마누라",20010927,29300205708,1419972,NA,"한국",NA,"조폭마누라",20010014,"코미디","코미디"
"342",342,"검은 집",20070621,29237585265,1408882,71,"한국","씨제이엔터테인먼트","검은집",20194421,"기타","기타"
"343",343,"구르믈 버서난 달처럼",20100428,10408565262,1407681,509,"한국","에스케이텔레콤(주)","구르믈버서난달처럼",20090931,"사극 액션","사극"
"344",344,"허브",20070111,29067068583,1406199,57,"한국","(주)쇼박스","허브",20060412,"드라마","드라마"
"345",345,"똥개",20030716,29064455937,1394000,39,"한국","쇼이스트(주)","똥개",20030091,"드라마","드라마"
"346",346,"기억의 밤",20171129,10652346660,1387599,751,"한국","메가박스중앙(주)플러스엠,주식회사 키위컴퍼니","기억의밤",20173581,"미스터리 스릴러","미스터리"
"347",347,"골든슬럼버",20180214,11412768798,1387508,833,"한국","씨제이이앤엠(주)","골든슬럼버",20168250,"범죄 드라마","범죄"
"348",348,"역도산",20041215,28613162871,1386179,70,"한국","씨제이엔터테인먼트","역도산",20040682,"드라마","드라마"
"349",349,"브이아이피",20170823,10956621835,1373316,996,"한국","워너브러더스 코리아(주)","브이아이피",20164174,"범죄 드라마","범죄"
"350",350,"분홍신",20050630,28539404703,1371122,54,"한국","(주)쇼박스","분홍신",20050135,"공포(호러)","공포(호러)"
"351",351,"특별시민",20170426,10494768945,1362634,1154,"한국","(주)쇼박스","특별시민",20162871,"드라마","드라마"
"352",352,"차형사",20120530,9752555296,1346754,433,"한국","씨제이이앤엠(주)","차형사",20124065,"코미디 액션","코미디"
"353",353,"은교",20120425,9917728000,1346274,521,"한국","롯데쇼핑㈜롯데엔터테인먼트","은교",20124066,"멜로/로맨스","멜로/로맨스"
"354",354,"궁합",20180228,10478875438,1340117,966,"한국","씨제이이앤엠(주)","궁합",20150969,"코미디 드라마","코미디"
"355",355,"미스터 고",20130717,9337990000,1328890,840,"한국","(주)쇼박스","미스터고",20124082,"코미디 드라마","코미디"
"356",356,"청담보살",20091111,9687687439,1321005,404,"한국","(주)넥스트엔터테인먼트월드(NEW)","청담보살",20090590,"멜로/로맨스 코미디","멜로/로맨스"
"357",357,"사라진 밤",20180307,10697981316,1315726,925,"한국","씨네그루(주)키다리이엔티","사라진밤",20178781,"스릴러","스릴러"
"358",358,"싸움의 기술",20060105,28353876633,1313727,54,"한국","씨제이엔터테인먼트","싸움의기술",20190972,"액션","액션"
"359",359,"간첩",20120920,9316548500,1310895,576,"한국","롯데쇼핑㈜롯데엔터테인먼트","간첩",20124400,"드라마 코미디 액션","드라마"
"360",360,"장산범",20170817,10341783083,1306438,711,"한국","(주)넥스트엔터테인먼트월드(NEW)","장산범",20151003,"미스터리 스릴러","미스터리"
"361",361,"만남의 광장",20070815,28136037834,1306434,52,"한국","(주)쇼박스","만남의광장",20070089,"코미디","코미디"
"362",362,"못말리는 결혼",20070510,27773755956,1304431,70,"한국","롯데쇼핑㈜롯데엔터테인먼트","못말리는결혼",20070151,"코미디","코미디"
"363",363,"최강로맨스",20070125,27561150000,1299274,51,"한국","(주)쇼박스","최강로맨스",20060417,"멜로/로맨스 코미디","멜로/로맨스"
"364",364,"킹콩을 들다",20090701,8597263166,1277800,411,"한국","(주)넥스트엔터테인먼트월드(NEW)","킹콩을들다",20090336,"드라마","드라마"
"365",365,"달마야, 서울 가자",20040709,27084900879,1272000,54,"한국","(주)시네마서비스","달마야,서울가자",20040595,"코미디","코미디"
"366",366,"달콤한 인생",20050401,26929403136,1271595,82,"한국","씨제이엔터테인먼트","달콤한인생",20050017,"액션","액션"
"367",367,"황진이",20070606,26600262597,1270644,106,"한국","(주)시네마서비스","황진이",20070128,"드라마 멜로/로맨스","드라마"
"368",368,"이장과 군수",20070329,26160560316,1269142,65,"한국","씨제이엔터테인먼트","이장과군수",20070084,"코미디","코미디"
"369",369,"즐거운 인생",20070913,26124798780,1263835,82,"한국","씨제이엔터테인먼트","즐거운인생",20070380,"드라마","드라마"
"370",370,"미스터 소크라테스",20051110,26053253055,1261965,52,"한국","롯데쇼핑㈜롯데엔터테인먼트","미스터소크라테스",20050280,"액션","액션"
"371",371,"달마야 놀자",20011108,25943733351,1253075,NA,"한국",NA,"달마야놀자",20010010,"코미디","코미디"
"372",372,"간기남",20120411,9356404500,1246185,356,"한국","(주)쇼박스","간기남",20124032,"코미디 스릴러","코미디"
"373",373,"유열의 음악앨범",20190828,10233455040,1245532,1078,"한국","CGV아트하우스","유열의음악앨범",20181416,"멜로/로맨스 드라마","멜로/로맨스"
"374",374,"신부수업",20040805,25809642693,1242476,56,"한국","코리아픽쳐스(주)","신부수업",20040612,"드라마 멜로/로맨스","드라마"
"375",375,"특별수사: 사형수의 편지",20160616,9929947065,1241899,691,"한국","(주)넥스트엔터테인먼트월드(NEW)","특별수사:사형수의편지",20159645,"범죄 드라마","범죄"
"376",376,"퍼펙트맨",20191002,10311352770,1240022,894,"한국","(주)쇼박스","퍼펙트맨",20184483,"코미디 드라마","코미디"
"377",377,"행복",20071003,25734895344,1239789,89,"한국","(주)쇼박스","행복",20070433,"드라마 멜로/로맨스","드라마"
"378",378,"육혈포 강도단",20100318,8784927671,1233582,319,"한국","롯데쇼핑㈜롯데엔터테인먼트","육혈포강도단",20090939,"코미디 드라마 액션","코미디"
"379",379,"천군",20050715,25590603285,1232992,58,"한국","(주)쇼박스","천군",20050141,"액션","액션"
"380",380,"텔미썸딩",19991113,25565466006,1230000,NA,"한국","(주)시네마서비스","텔미썸딩",19990059,"스릴러 미스터리","스릴러"
"381",381,"심야의 F.M.",20101014,9328562568,1228673,422,"한국","롯데쇼핑㈜롯데엔터테인먼트","심야의F.M.",20100302,"스릴러 범죄","스릴러"
"382",382,"두사부일체",20011208,25404282360,1228142,NA,"한국","씨제이엔터테인먼트","두사부일체",20010052,"코미디","코미디"
"383",383,"찌라시: 위험한 소문",20140220,9111648087,1221420,560,"한국","씨제이이앤엠(주)","찌라시:위험한소문",20139401,"범죄 드라마","범죄"
"384",384,"결혼전야",20131121,8444337719,1214836,524,"한국","씨너스엔터테인먼트(주)","결혼전야",20145484,"드라마","드라마"
"385",385,"깡철이",20131002,8572344462,1209363,707,"한국","씨제이이앤엠(주)","깡철이",20123381,"드라마 액션 가족","드라마"
"386",386,"악녀",20170608,9739662144,1208081,685,"한국","(주)넥스트엔터테인먼트월드(NEW)","악녀",20162343,"액션","액션"
"387",387,"인사동 스캔들",20090429,7900084842,1206101,314,"한국","에스케이텔레콤(주)","인사동스캔들",20090225,"드라마 범죄 액션","드라마"
"388",388,"해빙",20170301,9905406822,1204600,915,"한국","롯데쇼핑㈜롯데엔터테인먼트","해빙",20150971,"스릴러","스릴러"
"389",389,"그녀를 믿지 마세요",20040220,24769114893,1204000,43,"한국","(주)시네마서비스","그녀를믿지마세요",20040446,"코미디","코미디"
"390",390,"형사 Duelist",20050908,24080826141,1203146,88,"한국","코리아픽쳐스(주)","형사Duelist",20050216,"멜로/로맨스 액션","멜로/로맨스"
"391",391,"시간이탈자",20160413,9731838195,1202384,733,"한국","씨제이이앤엠(주)","시간이탈자",20142621,"스릴러","스릴러"
"392",392,"R2B: 리턴투베이스",20120815,8602921371,1201944,539,"한국","씨제이이앤엠(주)","R2B:리턴투베이스",20124049,"액션 드라마","액션"
"393",393,"더 웹툰: 예고살인",20130627,8534322070,1201033,541,"한국","씨제이이앤엠(주)","더웹툰:예고살인",20129114,"공포(호러) 스릴러","공포(호러)"
"394",394,"생일",20190403,9879762840,1196694,862,"한국","(주)넥스트엔터테인먼트월드(NEW)","생일",20183096,"드라마","드라마"
"395",395,"짝패",20060525,23807336472,1196520,50,"한국","씨제이엔터테인먼트","짝패",20060134,"액션","액션"
"396",396,"바람 바람 바람",20180405,9784385375,1194229,985,"한국","(주)넥스트엔터테인먼트월드(NEW)","바람바람바람",20153447,"코미디","코미디"
"397",397,"파송송 계란탁",20050218,23781874500,1193150,48,"한국","씨제이엔터테인먼트","파송송계란탁",20050011,"코미디","코미디"
"398",398,"몽정기2",20050114,23776196148,1188815,41,"한국","롯데쇼핑㈜롯데엔터테인먼트","몽정기2",20040774,"코미디","코미디"
"399",399,"힘을 내요, 미스터 리",20190911,9930518906,1181960,990,"한국","(주)넥스트엔터테인먼트월드(NEW)","힘을내요,미스터리",20187322,"코미디 드라마","코미디"
"400",400,"빅매치",20141127,8952096578,1177438,627,"한국","(주)넥스트엔터테인먼트월드(NEW)","빅매치",20134590,"액션","액션"
"401",401,"여선생 VS 여제자",20041117,23757084567,1175580,55,"한국","씨제이엔터테인먼트","여선생VS여제자",20040657,"코미디","코미디"
"402",402,"서양 골동 양과자점 앤티크",20081113,7367880833,1173310,451,"한국","오퍼스픽쳐스(유),(주)쇼박스","서양골동양과자점앤티크",20080637,"드라마","드라마"
"403",403,"슬로우 비디오",20141002,8913092219,1169562,618,"한국","이십세기폭스코리아(주)","슬로우비디오",20135386,"드라마 코미디","드라마"
"404",404,"동주",20160217,8870143589,1169335,499,"한국","메가박스중앙(주)플러스엠","동주",20158482,"드라마","드라마"
"405",405,"당신, 거기 있어줄래요",20161214,9361133648,1168625,767,"한국","롯데쇼핑㈜롯데엔터테인먼트","당신,거기있어줄래요",20152371,"판타지 드라마","판타지"
"406",406,"돈의 맛",20120517,8780178611,1166018,643,"한국","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트","돈의맛",20124064,"드라마","드라마"
"407",407,"장수상회",20150409,8729412643,1163575,688,"한국","씨제이이앤엠(주)","장수상회",20140703,"멜로/로맨스 드라마","멜로/로맨스"
"408",408,"연애술사",20050520,23734658097,1163274,55,"한국","씨제이엔터테인먼트","연애술사",20050083,"멜로/로맨스 코미디","멜로/로맨스"
"409",409,"공공의 적",20020124,23652148320,1161500,54,"한국","(주)시네마서비스","공공의적",20020065,"범죄 액션","범죄"
"410",410,"가문의 영광5 - 가문의 귀환",20121219,8330342500,1160021,447,"한국","롯데쇼핑㈜롯데엔터테인먼트","가문의영광5-가문의귀환",20128687,"코미디","코미디"
"411",411,"미씽: 사라진 여자",20161130,8881616256,1153109,790,"한국","메가박스중앙(주)플러스엠","미씽:사라진여자",20153741,"미스터리","미스터리"
"412",412,"용서는 없다",20100107,8737627361,1144238,334,"한국","(주)시네마서비스","용서는없다",20090888,"범죄 스릴러","범죄"
"413",413,"안녕, 형아",20050527,23597396019,1143136,45,"한국","(주)시네마서비스","안녕,형아",20050045,"드라마","드라마"
"414",414,"고령화 가족",20130509,8169492153,1141222,583,"한국","씨제이이앤엠(주)","고령화가족",20120426,"드라마 코미디","드라마"
"415",415,"장사리 : 잊혀진 영웅들",20190925,8997921050,1140876,1090,"한국","워너브러더스 코리아(주)","장사리:잊혀진영웅들",20193601,"전쟁","전쟁"
"416",416,"김종욱 찾기",20101208,8271660983,1130638,442,"한국","씨제이엔터테인먼트","김종욱찾기",20101200,"멜로/로맨스 드라마","멜로/로맨스"
"417",417,"하루",20170615,9072737842,1129609,781,"한국","CGV아트하우스","하루",20166384,"스릴러","스릴러"
"418",418,"챔피언",20180501,9471138230,1128774,874,"한국","워너브러더스 코리아(주)","챔피언",20189783,"드라마","드라마"
"419",419,"성난 변호사",20151008,8723650039,1128288,607,"한국","씨제이이앤엠(주)","성난변호사",20142855,"범죄 액션","범죄"
"420",420,"6년째 연애중",20080205,7460438000,1123294,327,"한국","(주)스튜디오210","6년째연애중",20070548,"멜로/로맨스 드라마","멜로/로맨스"
"421",421,"아랑",20060628,23551742673,1122399,46,"한국","롯데쇼핑㈜롯데엔터테인먼트","아랑",20060157,"공포(호러)","공포(호러)"
"422",422,"특수본",20111124,8096052500,1118258,471,"한국","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트","특수본",20110906,"액션 범죄","액션"
"423",423,"회사원",20121011,8321175000,1110523,549,"한국","(주)쇼박스","회사원",20113886,"액션 드라마","액션"
"424",424,"간신",20150521,8946842910,1110246,697,"한국","롯데쇼핑㈜롯데엔터테인먼트","간신",20142402,"사극","사극"
"425",425,"령",20040617,23527156617,1108769,35,"한국","(주)쇼박스","령",20040571,"공포(호러)","공포(호러)"
"426",426,"베스트셀러",20100415,8110824681,1099665,317,"한국","(주)시너지하우스 (시너지)","베스트셀러",20100131,"미스터리 스릴러 드라마","미스터리"
"427",427,"지금 사랑하는 사람과 살고 있습니까?",20070815,23422446900,1095119,76,"한국","(주)시네마서비스","지금사랑하는사람과살고있습니까?",20070367,"드라마 멜로/로맨스","드라마"
"428",428,"롱 리브 더 킹: 목포 영웅",20190619,9228798910,1094404,965,"한국","메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다","롱리브더킹:목포영웅",20198453,"액션 드라마","액션"
"429",429,"그때 그 사람들",20050203,23336116317,1083962,45,"한국","(주)엠케이픽처스","그때그사람들",20050007,"미스터리 코미디","미스터리"
"430",430,"내 남자의 로맨스",20040716,23170575744,1083556,47,"한국","씨제이엔터테인먼트","내남자의로맨스",20040585,"드라마","드라마"
"431",431,"오! 해피데이",20030418,23104640412,1073230,47,"한국","(주)시네마서비스","오!해피데이",20030120,"코미디","코미디"
"432",432,"오빠생각",20160121,8058857287,1069436,855,"한국","(주)넥스트엔터테인먼트월드(NEW)","오빠생각",20158483,"드라마 전쟁","드라마"
"433",433,"새드무비",20051020,23039112834,1066765,87,"한국","롯데쇼핑㈜롯데엔터테인먼트,아이러브시네마","새드무비",20050256,"드라마","드라마"
"434",434,"날, 보러와요",20160407,8836039063,1063421,683,"한국","메가박스중앙(주)플러스엠","날,보러와요",20152782,"미스터리 스릴러","미스터리"
"435",435,"수상한 고객들",20110414,7953428000,1059350,411,"한국","씨제이이앤엠(주)","수상한고객들",20119974,"코미디 드라마","코미디"
"436",436,"남극일기",20050519,22986255834,1057311,78,"한국","(주)쇼박스","남극일기",20050046,"스릴러","스릴러"
"437",437,"동창생",20131106,7010197126,1048280,660,"한국","(주)쇼박스","동창생",20127595,"액션 드라마","액션"
"438",438,"시크릿",20091203,7979591607,1046787,397,"한국","씨제이엔터테인먼트","시크릿",20181806,"드라마","드라마"
"439",439,"그놈이다",20151028,8098811152,1046313,681,"한국","CGV아트하우스","그놈이다",20157465,"스릴러","스릴러"
"440",440,"마음이...",20061026,22946492268,1042166,66,"한국","(주)쇼박스","마음이...",20060279,"드라마","드라마"
"441",441,"점박이:한반도의 공룡3D",20120126,9621468000,1040636,457,"한국","씨제이이앤엠(주)","점박이:한반도의공룡3D",20100215,"애니메이션 어드벤처 액션","애니메이션"
"442",442,"서편제",19930410,22918160916,1035741,16,"한국",NA,"서편제",19930025,"드라마 사극","드라마"
"443",443,"파괴된 사나이",20100701,7820538614,1030285,190,"한국","(주)시너지하우스 (시너지)","파괴된사나이",20100353,"드라마 스릴러","드라마"
"444",444,"오직 그대만",20111020,7591008500,1027622,435,"한국","(주)쇼박스","오직그대만",20112589,"멜로/로맨스","멜로/로맨스"
"445",445,"이중간첩",20030124,22755112173,1025928,53,"한국","(주)쇼박스","이중간첩",20030002,"스릴러","스릴러"
"446",446,"우아한 세계",20070405,22723647156,1025781,103,"한국","롯데쇼핑㈜롯데엔터테인먼트","우아한세계",20070072,"액션","액션"
"447",447,"김관장 대 김관장 대 김관장",20070208,22517248122,1025618,76,"한국","(주)쇼박스","김관장대김관장대김관장",20070021,"코미디","코미디"
"448",448,"데이지",20060309,22437607725,1023096,90,"한국","(주)쇼박스","데이지",20050350,"멜로/로맨스","멜로/로맨스"
"449",449,"야수",20060112,22377003399,1016152,87,"한국","(주)쇼박스","야수",20050345,"액션","액션"
"450",450,"심장이 뛴다",20110105,7538083500,1006947,445,"한국","롯데쇼핑㈜롯데엔터테인먼트","심장이뛴다",20101399,"드라마","드라마"
"451",451,"분신사바",20040805,22238729487,1001125,40,"한국","브에나비스타인터내셔널코리아","분신사바",20040593,"공포(호러)","공포(호러)"
"452",452,"염력",20180131,7484644112,990104,1099,"한국","(주)넥스트엔터테인먼트월드(NEW)","염력",20168323,"드라마 코미디","드라마"
"453",453,"방황하는 칼날",20140410,7828526800,989881,594,"한국","씨제이이앤엠(주)","방황하는칼날",20129787,"범죄 스릴러","범죄"
"454",454,"강력 3반",20050929,22138754247,989573,41,"한국","롯데쇼핑㈜롯데엔터테인먼트","강력3반",20050233,"액션","액션"
"455",455,"미쓰 와이프",20150813,7387086869,988451,437,"한국","메가박스중앙(주)플러스엠","미쓰와이프",20143513,"코미디","코미디"
"456",456,"시체가 돌아왔다",20120329,7360631000,986923,435,"한국","씨제이이앤엠(주)","시체가돌아왔다",20124051,"범죄 드라마","범죄"
"457",457,"원더풀 라디오",20120105,7255598000,986287,474,"한국","(주)쇼박스","원더풀라디오",20113671,"드라마 멜로/로맨스","드라마"
"458",458,"전국노래자랑",20130501,6685476000,977873,581,"한국","롯데쇼핑㈜롯데엔터테인먼트","전국노래자랑",20121549,"코미디 드라마","코미디"
"459",459,"내 사랑",20071218,432940833,977401,56,"한국","(주)쇼박스","내사랑",20070639,"멜로/로맨스 드라마","멜로/로맨스"
"460",460,"돈 크라이 마미",20121122,6808882099,975462,444,"한국","(주)에스비에스콘텐츠허브","돈크라이마미",20124348,"스릴러 드라마","스릴러"
"461",461,"바보",20080228,6301818833,974554,263,"한국","씨제이엔터테인먼트","바보",20072151,"드라마","드라마"
"462",462,"고산자, 대동여지도",20160907,7801007258,974262,765,"한국","씨제이이앤엠(주)","고산자,대동여지도",20159648,"사극","사극"
"463",463,"우리는 형제입니다",20141023,7263255399,970373,566,"한국","(주)쇼박스","우리는형제입니다",20148842,"코미디 드라마","코미디"
"464",464,"천문: 하늘에 묻는다",20191226,7808242950,965624,1198,"한국","롯데컬처웍스(주)롯데엔터테인먼트","천문:하늘에묻는다",20184571,"사극","사극"
"465",465,"나랏말싸미",20190724,7871240823,958775,1211,"한국","메가박스중앙(주)플러스엠","나랏말싸미",20182490,"사극","사극"
"466",466,"백야행",20091119,7170684217,956767,398,"한국","(주)시네마서비스","백야행",20090305,"멜로/로맨스 미스터리 범죄 스릴러","멜로/로맨스"
"467",467,"허삼관",20150114,7405415569,955175,621,"한국","(주)넥스트엔터테인먼트월드(NEW)","허삼관",20131262,"드라마","드라마"
"468",468,"점쟁이들",20121003,6731202500,953682,479,"한국","(주)넥스트엔터테인먼트월드(NEW)","점쟁이들",20113887,"코미디 공포(호러)","코미디"
"469",469,"불한당: 나쁜 놈들의 세상",20170517,7654331125,951797,860,"한국","씨제이이앤엠(주)","불한당:나쁜놈들의세상",20164844,"범죄 액션 드라마","범죄"
"470",470,"상사부일체",20070919,22083375213,947510,64,"한국","이십세기폭스코리아(주)","상사부일체",20070383,"코미디 액션","코미디"
"471",471,"오로라 공주",20051027,21878848827,946372,47,"한국","(주)시네마서비스","오로라공주",20050271,"범죄 스릴러","범죄"
"472",472,"GP 506",20080403,6316842000,945185,355,"한국","(주)쇼박스","GP506",20072148,"공포(호러) 미스터리 스릴러","공포(호러)"
"473",473,"낭만자객",20031205,21822390000,940134,44,"한국","씨제이엔터테인먼트","낭만자객",20030400,"코미디","코미디"
"474",474,"평행이론",20100218,6905140883,937029,272,"한국","씨제이엔터테인먼트","평행이론",20090160,"스릴러 액션 드라마 미스터리","스릴러"
"475",475,"투 가이즈",20040709,21641317020,931000,39,"한국","쇼이스트(주)","투가이즈",20040567,"코미디","코미디"
